软件名称,软件版本,依赖软件数,开发商,官网地址
.NET Core,3.1.25,0,Microsoft,https://www.microsoft.com/net
.NET Core,3.1.22,0,Microsoft,https://www.microsoft.com/net
7 Zip - LZMA SDK,21.07,0,Igor Pavlov,https://www.7-zip.org/sdk.html
7Zip,21.07,0,Igor Pavlov,http://www.7-zip.org/
@ant-design/icons,4.7.0,9,ant.design,https://ant.design/components/icon/
@antv/x6,1.30.0,0,AntV team,https://github.com/antvis/x6
@babel/core,7.16.7,30,babel,https://babeljs.io/
@babel/preset-env,7.16.7,76,babel,https://babeljs.io/
@babel/preset-react,7.16.7,5,Babel,https://babeljs.io/
@react-native-community/art,1.2.0,0,facebook,https://github.com/react-native-art/art#readme
@react-native-community/datetimepicker,3.5.2,0,github,https://github.com/react-native-datetimepicker/datetimepicker
@react-native-picker/picker,2.2.1,0,react-native-picker,https://github.com/react-native-picker/picker
@react-navigation/bottom-tabs,v6.3.1,0,react-navigation,https://github.com/react-navigation/react-navigation/
@react-navigation/core,v6.2.1,0,github,https://reactnavigation.org
@react-navigation/native,v6.0.10,0,github,https://reactnavigation.org
@react-navigation/stack,v6.2.1,0,react-navigation,https://github.com/react-navigation/react-navigation/
Aalto XML,1.3.0,4,"FasterXML, LLC",http://fasterxml.com/
abseil-cpp,20200225,0,abseil,https://abseil.io
acado,v1.2.2beta,0,acado,http://www.acadotoolkit.org/
acados,d65fb0ee114b2192aeb8b85788c84581540066bc,0,acados,https://github.com/acados/acados
ACE+TAO,6.5.14,1,DOC Group,http://www.dre.vanderbilt.edu/
ace-builds,1.4.14,0,ajaxorg,https://github.com/ajaxorg/ace-builds
ACL,2.3.1,1,savannah,http://savannah.nongnu.org/projects/acl/
ACPICA,Version 20220331,0,acpica,https://www.acpica.org/
Activiti BPM Suite,7.2.0,111,"Alfresco Software, Inc.",http://www.activiti.org
ad-rss-lib,v4.4.2,3,intel,https://intel.github.io/ad-rss-lib/
adal,4.0.2,0,github.com/Azure/go-autorest,https://github.com/AzureAD/azure-activedirectory-library-for-android/releases
AdminLTE,3.2.0,209,AdminLTE.IO,https://adminlte.io/
